Name,PTID,Zone,UnitType,FuelType,Latitude,Longitude,Pmax,Pmin,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM,fid,BusId,HubDist,starttime
Astoria GT 2-4,24097.0,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,89.0,82.0,12.02713368,10m
Astoria GT 3-1,24098.0,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,90.0,82.0,12.02713368,10m
Astoria GT 3-2,24099.0,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,91.0,82.0,12.02713368,10m
Astoria GT 3-3,24100.0,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,92.0,82.0,12.02713368,10m
Astoria GT 3-4,24101.0,J,Jet Engine,Kerosene,40.7864,-73.9133,46.0,0.0,4.6,46.0,46.0,46.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,93.0,82.0,12.02713368,10m
Astoria GT 4-1,24102.0,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,94.0,82.0,12.02713368,10m
Astoria GT 4-2,24103.0,J,Jet Engine,Kerosene,40.7864,-73.9133,40.0,0.0,4.0,40.0,40.0,40.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,95.0,82.0,12.02713368,10m
Astoria GT 4-3,24104.0,J,Jet Engine,Kerosene,40.7864,-73.9133,44.0,0.0,4.4,44.0,44.0,44.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,96.0,82.0,12.02713368,10m
Astoria GT 4-4,24105.0,J,Jet Engine,Kerosene,40.7864,-73.9133,42.0,0.0,4.2,42.0,42.0,42.0,13.315,0.0,0.0,0.0,0.0,0.0,0.0,0,97.0,82.0,12.02713368,10m
Athens 1,23668.0,F,Combined Cycle,Natural Gas,42.2728,-73.8492,390.0,271.0,39.0,390.0,390.0,390.0,6.334294534,155.2696981,0.979040044,-0.003240508,8.41297342,-175.5882576,0.979303753,1,31.0,42.0,45.12843739,10m
Athens 2,23670.0,F,Combined Cycle,Natural Gas,42.2728,-73.8492,378.0,132.0,37.8,378.0,378.0,378.0,5.70156114,362.2534494,0.941696862,0.012611926,-1.413317672,1350.584687,0.969715686,1,32.0,42.0,45.12843739,10m
Athens 3,23677.0,F,Combined Cycle,Natural Gas,42.2728,-73.8492,392.0,269.45,39.2,392.0,392.0,392.0,7.100470559,-5.983359818,0.97235679,0.001487241,6.127857757,151.7860039,0.972386375,1,33.0,42.0,45.12843739,10m
Barrett 03,23706.0,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24.0,1.0,2.4,24.0,24.0,24.0,15.77326267,4.354829253,0.985118451,-0.179428812,19.51720875,-6.61609149,0.988500397,1,180.0,79.0,21.00410283,10m
Barrett 04,23707.0,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,24.0,1.0,2.4,24.0,24.0,24.0,15.77326267,4.354829253,0.985118451,-0.179428812,19.51720875,-6.61609149,0.988500397,1,181.0,79.0,21.00410283,10m
Barrett 05,23708.0,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22.0,1.0,2.2,22.0,22.0,22.0,15.62115617,3.899004851,0.985750959,-0.179243284,19.27293369,-6.43950422,0.988910663,1,182.0,79.0,21.00410283,10m
Barrett 06,23709.0,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,22.0,1.0,2.2,22.0,22.0,22.0,15.62115617,3.899004851,0.985750959,-0.179243284,19.27293369,-6.43950422,0.988910663,1,183.0,79.0,21.00410283,10m
Barrett 08,23711.0,K,Combustion Turbine,Natural Gas,40.6169,-73.6486,23.0,1.0,0.35,3.5,10.5,21.0,15.41110336,4.656866663,0.986129589,-0.153604118,18.80259092,-6.091615992,0.98873721,1,184.0,79.0,21.00410283,12h
Barrett 09,23700.0,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0.0,0.696666667,6.966666667,20.9,41.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,209.0,79.0,20.97536639,12h
Barrett 10,23701.0,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0.0,0.696666667,6.966666667,20.9,41.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,210.0,79.0,20.97536639,12h
Barrett 11,23702.0,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0.0,0.696666667,6.966666667,20.9,41.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,211.0,79.0,20.97536639,12h
Barrett 12,23703.0,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0.0,0.696666667,6.966666667,20.9,41.8,11.098,0.0,0.0,0.0,0.0,0.0,0.0,0,212.0,79.0,20.97536639,12h
